#true policy loss value birl, true policy loss value diff brex
0.0332481, 0.028033
0.0479898, 0.037162
0.00435192, 0.0122074
0.00288285, 0.00336349
0.0301895, 0.0752178
0.00637379, 0.0937338
0.0775308, 0.114428
0.0360527, 0.105085
0.0280594, 0.285725
0.0599445, 0.0599445
0.0485873, 0.0737346
0.00625132, 0.0116732
0.0305542, 0.0386898
0.00823879, 0.0112223
0.0359943, 0.0575142
0.0102111, 0.0482642
0.0398253, 0.00495487
0.0100072, 0.0462504
0.00787277, 0.0114909
0.0646435, 0.00559185
0.00348835, 0.029304
0.83771, 0.855304
0.0563689, 0.0201303
0.00376994, 0.00884763
0.00405646, 2.09653
0.0333127, 0.00799333
0.00928409, 0.0248957
0.0156806, 0.0153167
0.12174, 0.0634337
0.0200715, 0.031765
0.0232359, 0.00750345
0.178889, 0.31819
0.00344077, 0.00894718
0.00489823, 0.112783
0.164544, 0.164544
0.0118515, 0.206848
0.130095, 0.07147
0.00937285, 0.0329884
0.200737, 0.072993
0.0104642, 0.0121947
0.0232557, 0.0198356
0.00349452, 0.00349452
0.105655, 0.0198169
0.0670784, 0.0393388
0.00527773, 0.00850339
0.00622043, 0.0378939
0.00761812, 2.68251
0.0909122, 0.00859586
0.0227946, 0.0473222
0.0772658, 0.0721093
0.0102025, 0.0102025
0.00794512, 0.0115873
0.00875492, 0.0078284
0.0060222, 0.00665878
0.0118843, 0.039825
0.0221886, 0.0176026
0.0122979, 0.0548199
0.00631172, 0.0322479
0.0495663, 0.0377581
0.0519116, 0.053655
0.00307511, 0.0204939
0.00266727, 0.0708052
0.101575, 0.121336
0.0268935, 0.00915122
0.198663, 0.208776
0.0192798, 0.00513656
0.0870725, 0.00858673
0.0978762, 0.0403682
0.061648, 0.0270887
0.0205863, 0.00349978
0.0625556, 0.127164
0.0191991, 0.010016
0.0911717, 0.02204
0.00584371, 0.0333392
0.0737886, 0.188937
0.116468, 0.0521999
0.102764, 0.0149994
0.0499085, 0.0890275
0.00913143, 0.0473871
0.00803779, 0.437136
0.010318, 0.00675997
0.294298, 0.232521
0.211343, 0.355752
0.0603903, 0.0122336
0.0988439, 0.0742549
0.00810395, 0.0145125
0.0775962, 0.00710272
0.00965731, 0.206994
0.0464819, 0.0445544
0.0158403, 0.0372893
0.0253878, 0.122422
0.0970479, 0.0344034
0.0104254, 0.0512187
0.0122595, 0.0122595
0.0190318, 0.0189853
0.0162594, 0.0237504
0.289324, 0.255655
0.138244, 0.0928773
0.0782897, 0.130788
0.0452749, 0.0775236
