#true policy loss value birl, true policy loss value diff brex
0.0149513, 0.028033
0.0479898, 0.0199329
0.00435192, 0.0258447
0.00288285, 0.00288285
0.00564677, 0.0301895
0.00637379, 0.00637379
0.0180587, 0.10269
0.0289488, 0.0720661
0.0147605, 0.389569
0.0138477, 0.0599445
0.0286564, 0.0644977
0.00625132, 0.0117204
0.0305542, 0.0325588
0.00823879, 0.0272983
0.0575142, 0.0151949
0.00312048, 0.00312048
0.0162526, 0.0439957
0.0100072, 0.0380871
0.00787277, 0.0150657
0.221832, 0.0217402
0.00348835, 0.0245197
0.00843252, 0.13063
0.0087254, 0.0570579
0.0270904, 0.140442
0.0279956, 0.00425361
0.00799333, 0.0153978
0.00928409, 0.00923698
0.0156806, 0.0176797
0.13757, 0.0225713
0.0207038, 0.0384466
0.0246379, 0.00862624
0.126734, 0.0351705
0.00344077, 0.00344077
0.00489823, 0.112783
0.147174, 0.154956
0.0118515, 0.126929
0.0613729, 0.0623041
0.0430277, 0.0263126
0.0728723, 0.0728723
0.0104642, 0.0210066
0.0114225, 0.0232557
0.00349452, 0.00349452
0.105655, 0.014323
0.00654418, 0.0393388
0.0089815, 0.00527773
0.00622043, 0.028722
0.00761812, 0.0802576
0.0470915, 0.00859586
0.01278, 0.0196147
0.00879682, 0.0721093
0.0102025, 0.0102025
0.0115873, 0.00794512
0.0918524, 0.0078284
0.0060222, 0.0060222
0.039825, 0.0426951
0.00510661, 0.0221886
0.00400724, 0.0548199
0.00631172, 0.0322479
0.117827, 0.0377581
0.0536544, 0.0619389
0.00307511, 0.0204939
0.00266727, 0.147003
0.202345, 0.165061
0.0175054, 0.00915122
0.0680272, 0.167844
0.0194731, 0.008886
0.0870725, 0.00858673
0.116231, 0.0403682
0.025112, 0.0186309
0.00349978, 0.00349978
0.0625556, 0.127164
0.00584148, 0.0191991
0.0911717, 0.0317303
0.00584371, 0.0311947
0.0738129, 0.0738129
0.0249879, 0.0320392
0.146625, 0.0256867
0.0890275, 0.0890275
0.00913143, 0.00913143
0.00803779, 0.12468
0.0171361, 0.0581802
0.273416, 0.220832
0.205778, 0.0503367
0.0687899, 0.068747
0.0988439, 0.0076332
0.00810395, 0.0166102
0.0775962, 0.0437077
0.010493, 0.0966871
0.0604389, 0.0795382
0.0158403, 0.0158403
0.0253878, 0.0146316
0.0970479, 0.0674447
0.0576411, 0.0196018
0.00404164, 0.0087354
0.0138112, 0.036841
0.0131533, 0.0163373
0.324815, 0.259637
0.0589115, 0.0645653
0.0715802, 0.071557
0.0452749, 0.0452749
