#true policy loss value birl, true policy loss value diff brex
0.00524032, 0.0332481
0.0246734, 0.0246734
0.00435192, 0.00756057
0.00336349, 0.00288285
0.00564677, 0.0375086
0.00578594, 0.00715964
0.00851387, 0.0775308
0.0460277, 0.013009
0.00751732, 0.0325738
0.00522458, 0.0599445
0.00852056, 0.0355979
0.00625132, 0.00625132
0.00500264, 0.00762628
0.00823879, 0.040714
0.046836, 0.0575142
0.00312048, 0.0475818
0.00497878, 0.0398253
0.00789636, 0.0100072
0.00787277, 0.00787277
0.0129505, 0.145583
0.00348835, 0.029304
0.00843252, 0.0747797
0.00500958, 0.0205897
0.014576, 0.00884763
0.00431056, 0.00431056
0.00484423, 0.00799333
0.00923698, 0.0626955
0.00561233, 0.0153167
0.00601427, 0.0225713
0.0109777, 0.0380079
0.0196087, 0.0537098
0.00394785, 0.00442137
0.00710317, 0.00344077
0.00527826, 0.0302695
0.00655539, 0.155386
0.00752871, 0.0435302
0.0512663, 0.07147
0.00332304, 0.0444952
0.00784764, 0.0168006
0.00185764, 0.00510924
0.00563596, 0.0114225
0.00349452, 0.0035176
0.00765319, 0.00884659
0.00652114, 0.00652114
0.00527773, 0.0542754
0.0049762, 0.0146269
0.00761812, 0.0435242
0.00535756, 0.0909122
0.01278, 0.0472514
0.00552199, 0.00879682
0.00283632, 0.0102025
0.00514714, 0.0115643
0.0078284, 0.00875492
0.0060222, 0.0281804
0.0106187, 0.0118388
0.0140205, 0.0221886
0.00423897, 0.0382629
0.00604841, 0.00604841
0.0126909, 0.0377581
0.0206149, 0.0376623
0.00399357, 0.00307511
0.00682266, 0.0708052
0.00786712, 0.0409802
0.00392133, 0.0624303
0.0046168, 0.0215672
0.00513656, 0.008886
0.00847999, 0.00858673
0.00404106, 0.0231195
0.00583457, 0.0186309
0.00349978, 0.00349978
0.00629722, 0.0459249
0.00286556, 0.010016
0.00553332, 0.0557948
0.0311947, 0.0333392
0.00847074, 0.0594113
0.00825162, 0.0115838
0.00435207, 0.0256867
0.00726924, 0.0499085
0.00455603, 0.0627248
0.00803325, 0.0651482
0.0036411, 0.0036411
0.00793438, 0.0425
0.00352063, 0.286858
0.0122336, 0.0466932
0.0126782, 0.110994
0.00810395, 0.0133971
0.00710272, 0.0437077
0.00694088, 0.00965731
0.0063764, 0.0167781
0.00796882, 0.0226914
0.00752838, 0.0146942
0.0207365, 0.0093465
0.00482486, 0.0196018
0.0028745, 0.00404164
0.013223, 0.013223
0.00525488, 0.0247445
0.00545567, 0.00896524
0.00767189, 0.0104747
0.00344963, 0.0190821
0.00762257, 0.0775236
