#true policy loss value birl, true policy loss value diff brex
0.0332481, 0.0148807
0.0558701, 0.620049
0.00435192, 0.0718238
0.00288285, 3.19158
0.00564677, 3.17844
0.00637379, 1.89352
0.0180587, 0.0180587
0.0289488, 0.186247
0.0280594, 1.29798
0.0138477, 0.0599445
0.0286564, 0.240439
0.00625132, 3.83243
0.0663039, 0.0325588
0.00823879, 0.0695523
0.0367148, 2.47308
0.00312048, 0.0110392
0.0162526, 2.73587
0.0100072, 0.0095004
0.00787277, 0.0150657
0.195419, 0.889672
0.00348835, 5.40231
0.00843252, 1.16545
0.0087254, 0.0540267
0.0270904, 0.00884763
0.0279956, 5.33992
0.00881556, 0.10812
0.0191378, 0.0117922
0.0176797, 0.0160605
0.129305, 0.0280047
0.0200715, 3.8192
0.0613292, 3.9358
0.124846, 0.495748
0.00344077, 1.88925
0.00489823, 5.02759
0.221127, 0.509847
0.0118515, 3.79757
0.0613729, 3.26132
0.0430277, 4.34042
0.072993, 0.0970474
0.0137158, 0.0210066
0.0114225, 0.0232557
0.00349452, 3.63003
0.105655, 0.032583
0.0745433, 3.59242
0.017086, 0.284039
0.0221731, 2.98922
0.00761812, 0.0435242
0.0470915, 2.5564
0.0127092, 0.0565011
0.0154165, 4.22965
0.0082395, 0.00283632
0.00794512, 1.38772
0.047142, 1.14778
0.0281804, 0.0270473
0.039825, 0.0522294
0.0221886, 0.0237875
0.00400724, 1.74901
0.00631172, 3.83028
0.053074, 2.43192
0.0376615, 0.105119
0.00181479, 1.56848
0.00266727, 1.44497
0.101575, 0.0138983
0.0175054, 2.93427
0.103233, 1.26149
0.0194731, 7.33167
0.0870725, 4.93057
0.0978762, 0.0680226
0.025112, 3.76363
0.00349978, 0.00349978
0.0625556, 0.0791264
0.00584148, 6.91011
0.0970064, 0.0162053
0.00584371, 1.98985
0.0738129, 7.3639
0.00825162, 7.25416
0.0962713, 5.23001
0.123184, 0.994435
0.00913143, 1.14866
0.00803779, 1.72056
0.010318, 0.0047379
0.273416, 0.125897
0.242007, 0.0526391
0.06385, 4.09822
0.0988439, 5.37001
0.00810395, 0.351057
0.0775962, 0.0221671
0.0107404, 4.10259
0.0445544, 0.0331767
0.0158403, 0.0433449
0.0253878, 0.024353
0.058086, 0.0970247
0.0219913, 0.0196018
0.00404164, 6.18592
0.0190318, 0.0192261
0.00525488, 7.80243
0.289324, 0.257765
0.0589115, 1.74048
0.0715802, 0.808484
0.0452749, 2.39556
