#true policy loss value birl, true policy loss value diff brex
0.0332481, 0.0068138
0.0558701, 5.61158
0.00435192, 5.45184
0.00288285, 3.19017
0.00564677, 0.0155437
0.00637379, 5.34138
0.0739631, 5.51757
0.0720661, 1.55812
0.100421, 0.0192337
0.0268496, 2.55057
0.0485873, 4.90995
0.00625132, 4.35299
0.0305542, 3.706
0.00823879, 0.00960887
0.0359943, 2.57079
0.0102111, 0.0197547
0.0398253, 3.82122
0.0427465, 0.0849833
0.0627251, 6.74482
0.0217402, 1.09693
0.00348835, 3.98989
0.83771, 1.30627
0.0563689, 1.37664
0.00233964, 7.80528
0.00405646, 2.09653
0.0333127, 1.75877
0.0191378, 4.34065
0.0176797, 3.33463
0.129305, 0.0485045
0.0200715, 0.0331106
0.0246379, 3.36658
0.0852244, 0.093646
0.00344077, 0.072958
0.0234178, 1.1238
0.164544, 4.7685
0.0118515, 5.73691
0.0623041, 0.0447849
0.0430277, 0.0234813
0.0728723, 0.207422
0.0137158, 1.8586
0.0114225, 2.75316
0.00349452, 5.81146
0.105655, 4.32005
0.0393388, 3.57711
0.030682, 0.00527773
0.0305795, 2.8176
0.00804037, 6.31336
0.0470915, 3.60899
0.0418468, 0.0473222
0.0154165, 3.78111
0.0102025, 0.0102025
0.00514714, 1.39664
0.00875492, 1.14756
0.0060222, 8.12989
0.0118843, 0.076131
0.0221886, 0.00806396
0.00400724, 6.10738
0.00631172, 8.36202
0.053074, 1.41207
0.0559736, 5.79795
0.00181479, 0.849873
0.00266727, 1.43072
0.121336, 7.59555
0.0268935, 0.0322757
0.103233, 7.11673
0.0202359, 6.30382
0.0870725, 5.77033
0.0978762, 3.3205
0.0170682, 4.7142
0.0205863, 0.222639
0.0791264, 0.0456748
0.0302728, 0.0621206
0.0557948, 0.920589
0.00860543, 2.05794
0.0324833, 7.38882
0.116468, 7.25416
0.0912286, 5.41013
0.0890275, 4.03632
0.00913143, 0.00455603
0.00803779, 2.16596
0.010318, 5.7347
0.342808, 0.170564
0.211343, 0.454527
0.0763552, 4.56952
0.0988439, 2.19521
0.00810395, 0.2401
0.0867729, 3.71364
0.0107404, 4.44074
0.0445544, 1.7052
0.0158403, 6.30092
0.116495, 2.60244
0.0970479, 0.0541038
0.0535781, 7.14559
0.0087354, 0.0475533
0.0190318, 0.189609
0.0237504, 7.88243
0.277482, 2.39173
0.0955831, 0.0257699
0.0213027, 7.43416
0.0452749, 3.09365
