#true policy loss value birl, true policy loss value diff brex
0.00524032, 0.00524032
0.0246734, 0.00430688
0.00435192, 0.00435192
0.00288285, 0.00288285
0.00424804, 0.00564677
0.00578594, 0.00578594
0.00851387, 0.00851387
0.013009, 0.00801904
0.00751732, 0.00751732
0.00522458, 0.00522458
0.00470745, 0.00470745
0.00625132, 0.00625132
0.00500264, 0.00562161
0.00823879, 0.00823879
0.0253161, 0.00710015
0.00312048, 0.00312048
0.00497878, 0.00497878
0.00789636, 0.00789636
0.00787277, 0.00787277
0.0129505, 0.00559185
0.00348835, 0.00348835
0.00843252, 0.00843252
0.00500958, 0.00500958
0.014576, 0.00233964
0.00431056, 0.00399951
0.00799333, 0.0036031
0.00926054, 0.0100822
0.00561233, 0.00584527
0.00601427, 0.00528713
0.0109777, 0.00590305
0.00879637, 0.00733331
0.00394785, 0.00238937
0.00894718, 0.00236777
0.00489823, 0.00489823
0.00614051, 0.00683242
0.00752871, 0.00752871
0.0512663, 0.0079123
0.00332304, 0.00332304
0.00784764, 0.00784764
0.00185764, 0.00185764
0.00563596, 0.00563806
0.00349452, 0.0035176
0.00765319, 0.00765319
0.0164473, 0.00654418
0.00527773, 0.00527773
0.0049762, 0.0049762
0.00761812, 0.00804037
0.00535756, 0.00535756
0.01278, 0.0078576
0.00552199, 0.00552199
0.00283632, 0.00283632
0.00373871, 0.00514714
0.0078284, 0.00787335
0.0060222, 0.0060222
0.0106187, 0.00774868
0.0140205, 0.00447267
0.00423897, 0.00511645
0.00604841, 0.00533883
0.0126909, 0.00452978
0.0537358, 0.00453312
0.00399357, 0.00399357
0.00682266, 0.00634396
0.00786712, 0.00791744
0.00392133, 0.00392133
0.00416508, 0.003629
0.00513656, 0.0051055
0.00847999, 0.00858673
0.00404106, 0.00421925
0.00583457, 0.00583457
0.00349978, 0.00349978
0.00629722, 0.00662514
0.00286556, 0.00286556
0.00462517, 0.00483236
0.0393569, 0.00242932
0.00483531, 0.00483531
0.00825162, 0.00825162
0.00552452, 0.00510099
0.00726924, 0.00726924
0.00583077, 0.00583077
0.00803325, 0.00834165
0.0036411, 0.0036411
0.00793438, 0.00803432
0.00372622, 0.0350744
0.0122336, 0.00781703
0.0126782, 0.00731158
0.00810395, 0.00810395
0.00710272, 0.00710272
0.00694088, 0.00694088
0.0063764, 0.0063764
0.00796882, 0.00809337
0.00752838, 0.00752838
0.0207365, 0.0093465
0.00482486, 0.00482486
0.0122595, 0.00404164
0.013223, 0.00800247
0.00525488, 0.00525488
0.00545567, 0.0062564
0.00767189, 0.00767189
0.00344963, 0.0100765
0.00762257, 0.0083092
