#true policy loss value birl, true policy loss value diff brex
0.00524032, 0.00516976
0.00430688, 0.00430688
0.00435192, 0.00435192
0.00288285, 0.00170573
0.00424804, 0.00564677
0.00578594, 0.00578594
0.00851387, 0.00851387
0.013009, 0.00801904
0.00751732, 0.00751732
0.00522458, 0.00513869
0.00852056, 0.00470745
0.00625132, 0.00625132
0.00320606, 0.00320606
0.00823879, 0.00823879
0.00710015, 0.00710015
0.00312048, 0.00198332
0.00497878, 0.00255649
0.00789636, 0.00789636
0.00787277, 0.00787277
0.00559185, 0.00559185
0.00348835, 0.00348835
0.00843252, 0.00843252
0.00500958, 0.00500958
0.00376994, 0.00230699
0.00405646, 0.00405646
0.00513196, 0.0036031
0.0118158, 0.00807417
0.00561233, 0.00449466
0.00528713, 0.00528713
0.00590305, 0.0065392
0.00733331, 0.00733331
0.00238937, 0.00238937
0.00236777, 0.00236777
0.00489823, 0.00489823
0.00614051, 0.00614051
0.00752871, 0.00752871
0.0079123, 0.0079123
0.00332304, 0.00240322
0.00784764, 0.00784764
0.00293365, 0.00185764
0.00563596, 0.00563806
0.00349452, 0.0035176
0.00765319, 0.00765319
0.00652114, 0.00654418
0.0089815, 0.00527773
0.0049762, 0.0049762
0.00761812, 0.00804037
0.00535756, 0.00535756
0.0078576, 0.00778676
0.00552199, 0.00552199
0.00283632, 0.00283632
0.00373871, 0.004877
0.0078284, 0.0078284
0.0060222, 0.0060222
0.0106187, 0.00774868
0.00447267, 0.00447267
0.00423897, 0.00511645
0.00604841, 0.00626208
0.0126909, 0.0050572
0.00448549, 0.00453312
0.00399357, 0.00399357
0.00682266, 0.00199258
0.00786712, 0.00776585
0.00392133, 0.00392133
0.00416508, 0.00234916
0.00513656, 0.0051055
0.00847999, 0.00847999
0.0231195, 0.00421925
0.00583457, 0.00583457
0.00349978, 0.00349978
0.00629722, 0.00629722
0.00286556, 0.00286556
0.00483236, 0.00483236
0.00242932, 0.00242932
0.00483531, 0.00483531
0.00825162, 0.00825162
0.00731137, 0.00510099
0.00726924, 0.00726924
0.00583077, 0.00583077
0.00645286, 0.00645286
0.0036411, 0.0036411
0.00803432, 0.00803432
0.00372622, 0.00372622
0.0122336, 0.00777411
0.00714231, 0.00714231
0.00810395, 0.00805722
0.00710272, 0.00710272
0.00694088, 0.0056392
0.0063764, 0.0063764
0.00796882, 0.00605263
0.00759102, 0.00752838
0.0322713, 0.0093465
0.00482486, 0.00482486
0.0028745, 0.00404164
0.00813307, 0.00813307
0.00525488, 0.00525488
0.00545567, 0.00545567
0.00767189, 0.00767189
0.00344963, 0.00344963
0.00762257, 0.00882506
