#true policy loss value birl, true policy loss value diff brex
0.650168, 0.00524032
0.0468258, 0.00430688
0.00572585, 0.00435192
4.46507, 0.00288285
0.161213, 0.00564677
0.0172458, 0.00578594
0.365145, 0.00851387
0.352099, 0.00801904
1.25311, 0.00751732
2.50874, 0.00513869
1.45285, 0.00470745
3.46469, 0.00625132
1.05574, 0.00320606
0.00975101, 0.00823879
0.0845239, 0.00710015
0.243048, 0.00312048
2.64343, 0.00497878
0.0059657, 0.00789636
0.135717, 0.00787277
0.888401, 0.00559185
2.29942, 0.00348835
0.198765, 0.00843252
0.0529978, 0.00500958
5.91859, 0.00233964
0.0926818, 0.00431056
0.142348, 0.0036031
0.16049, 0.00397462
0.00549423, 0.00584527
3.01245, 0.00641633
0.0190989, 0.00590305
3.04214, 0.00733331
0.605942, 0.00238937
0.0380771, 0.00236777
0.839703, 0.00489823
0.327974, 0.00683242
3.99161, 0.00752871
0.0079123, 0.00800588
0.0468927, 0.00332304
4.90809, 0.00784764
0.132259, 0.00185764
2.29372, 0.00563806
0.0210221, 0.0035176
0.0125403, 0.00765319
0.00571205, 0.00654418
2.78101, 0.00527773
5.9302, 0.00545497
4.78553, 0.00761812
0.114668, 0.00535756
5.37275, 0.0078576
0.0332011, 0.00552199
0.00448688, 0.00283632
0.0402046, 0.00514714
0.00583529, 0.00787335
0.0270419, 0.0060222
3.52646, 0.00774868
3.58653, 0.00447267
1.3892, 0.00400724
0.0324616, 0.00533883
1.44545, 0.0050572
0.0832957, 0.00453312
0.0331528, 0.00399357
1.4353, 0.00682266
0.165195, 0.00786712
1.95142, 0.00392133
0.00444037, 0.00322883
0.00332628, 0.00513656
2.76557, 0.00858673
0.157096, 0.00404106
3.74746, 0.00583457
2.9427, 0.00349978
2.25798, 0.00629722
0.0159495, 0.00286556
0.0690858, 0.00550261
0.115534, 0.00242932
6.9865, 0.00756463
2.7273, 0.00825162
1.219, 0.00510099
0.860279, 0.00726924
1.14895, 0.00583077
1.766, 0.00645286
5.73268, 0.0036411
0.907408, 0.00803432
0.0100996, 0.00675146
0.0078312, 0.00781703
0.0076332, 0.00721386
0.0439528, 0.00810395
0.504011, 0.00710272
0.0402205, 0.00561443
0.145135, 0.0063764
0.0349542, 0.00809337
1.39827, 0.00752838
0.0093465, 0.00396131
7.40612, 0.00482486
0.00756839, 0.00404164
1.30175, 0.00813307
0.00380622, 0.00525488
0.363676, 0.00545567
0.138493, 0.0088238
0.0867206, 0.0100765
2.68384, 0.00762257
