#true policy loss value birl, true policy loss value diff brex
0.0291113, 0.00524032
0.0235094, 0.00430688
0.347964, 0.00435192
0.0530694, 0.00288285
0.0156184, 0.00564677
0.959074, 0.00578594
3.22503, 0.00851387
0.0104782, 0.00801904
0.163502, 0.00751732
2.50874, 0.00513869
0.0531889, 0.00470745
0.00568319, 0.00625132
0.203605, 0.00320606
0.0202836, 0.00823879
0.011895, 0.00710015
0.00956725, 0.00312048
0.00255649, 0.00497878
0.0111437, 0.00789636
0.00994377, 0.00787277
0.891681, 0.00559185
0.0193517, 0.00348835
1.10069, 0.00843252
0.00505212, 0.00500958
0.144389, 0.00233964
0.0371523, 0.00431056
0.0301927, 0.0036031
0.0500629, 0.00397462
0.0146154, 0.00584527
2.23514, 0.00641633
0.0135365, 0.00590305
0.019315, 0.00733331
6.28201, 0.00238937
0.00780992, 0.00236777
0.0761283, 0.00489823
0.327974, 0.00683242
5.33939, 0.00752871
0.0488823, 0.00800588
0.0485061, 0.00332304
2.11896, 0.00784764
0.0235914, 0.00185764
0.00718612, 0.00563806
0.0210221, 0.0035176
1.53483, 0.00765319
0.0105669, 0.00654418
2.20287, 0.00527773
0.266718, 0.00545497
0.0152742, 0.00761812
0.0900938, 0.00535756
5.37619, 0.0078576
0.0332011, 0.00552199
0.00448688, 0.00283632
0.00373871, 0.00514714
1.14027, 0.00787335
0.0281703, 0.0060222
0.0391712, 0.00774868
0.117274, 0.00447267
1.45573, 0.00400724
2.24329, 0.00533883
1.3435, 0.0050572
0.0556427, 0.00453312
0.00774861, 0.00399357
1.43738, 0.00682266
0.105857, 0.00786712
0.0168147, 0.00392133
0.00226878, 0.00322883
0.0028647, 0.00513656
2.89252, 0.00858673
0.0250786, 0.00404106
0.024519, 0.00583457
0.359682, 0.00349978
0.775191, 0.00629722
6.63346, 0.00286556
6.70882, 0.00550261
0.0994085, 0.00242932
6.9865, 0.00756463
0.00451826, 0.00825162
1.4555, 0.00510099
1.03725, 0.00726924
0.00510638, 0.00583077
1.89716, 0.00645286
5.64432, 0.0036411
1.01722, 0.00803432
0.0198686, 0.00675146
0.0614766, 0.00781703
0.0558333, 0.00721386
0.0523596, 0.00810395
0.972982, 0.00710272
0.00624702, 0.00561443
6.62184, 0.0063764
0.00605263, 0.00809337
2.52914, 0.00752838
0.0655732, 0.00396131
0.0321513, 0.00482486
0.0413784, 0.00404164
0.0763686, 0.00813307
0.0574426, 0.00525488
0.273882, 0.00545567
5.08532, 0.0088238
0.0166164, 0.0100765
0.0114797, 0.00762257
