#true policy loss value birl, true policy loss value diff brex
2.65003, 0.00524032
4.58164, 0.00430688
0.915017, 0.00435192
1.1556, 0.00288285
1.82206, 0.00564677
2.82105, 0.00578594
3.48172, 0.00851387
0.0572822, 0.00801904
6.44062, 0.00751732
2.50332, 0.00513869
3.61253, 0.00470745
1.25684, 0.00625132
0.05867, 0.00320606
3.60588, 0.00823879
0.143276, 0.00710015
2.73991, 0.00312048
0.967005, 0.00497878
2.56026, 0.00789636
2.54132, 0.00787277
4.029, 0.00559185
3.35901, 0.00348835
3.13712, 0.00843252
0.00726598, 0.00500958
1.37474, 0.00233964
0.032102, 0.00431056
0.755751, 0.0036031
1.36595, 0.00397462
0.0201349, 0.00584527
2.0038, 0.00641633
3.50777, 0.00590305
3.94895, 0.00733331
5.6278, 0.00238937
2.18943, 0.00236777
0.24013, 0.00489823
4.35917, 0.00683242
3.82433, 0.00752871
2.72174, 0.00800588
4.60298, 0.00332304
2.32655, 0.00784764
0.00447361, 0.00185764
1.98092, 0.00563806
0.0376718, 0.0035176
2.55137, 0.00765319
2.04626, 0.00654418
0.612381, 0.00527773
3.67388, 0.00545497
2.61245, 0.00761812
0.223427, 0.00535756
5.07782, 0.0078576
0.111472, 0.00552199
3.66724, 0.00283632
0.0392276, 0.00514714
0.654923, 0.00787335
3.71879, 0.0060222
2.58119, 0.00774868
0.0333369, 0.00447267
5.93911, 0.00400724
0.00626208, 0.00533883
1.44751, 0.0050572
0.246435, 0.00453312
0.843939, 0.00399357
1.4346, 0.00682266
2.65643, 0.00786712
0.636901, 0.00392133
1.2012, 0.00322883
3.44948, 0.00513656
3.02052, 0.00858673
0.100411, 0.00404106
0.0855627, 0.00583457
1.59342, 0.00349978
3.31979, 0.00629722
6.80293, 0.00286556
0.183257, 0.00550261
2.48496, 0.00242932
5.85898, 0.00756463
0.426801, 0.00825162
1.22388, 0.00510099
1.0051, 0.00726924
1.14221, 0.00583077
1.80132, 0.00645286
0.373289, 0.0036411
5.27332, 0.00803432
0.302115, 0.00675146
0.877666, 0.00781703
1.10013, 0.00721386
3.64476, 0.00810395
4.0223, 0.00710272
0.0643194, 0.00561443
1.23354, 0.0063764
4.02938, 0.00809337
1.082, 0.00752838
0.0768824, 0.00396131
1.56506, 0.00482486
0.389748, 0.00404164
4.43438, 0.00813307
6.34278, 0.00525488
0.104569, 0.00545567
2.69585, 0.0088238
0.356598, 0.0100765
1.69763, 0.00762257
