#true policy loss value birl, true policy loss value diff brex
0.483991, 0.00524032
7.47236, 0.00430688
4.97229, 0.00756057
3.65236, 0.00288285
3.1977, 0.292832
5.07314, 0.00578594
6.37739, 6.33716
0.0434969, 0.0460277
1.22499, 0.0147605
2.5502, 0.00522458
4.02333, 0.0485873
0.0244358, 0.00625132
3.68462, 0.00320606
5.60593, 0.061815
1.51005, 0.00710015
4.75309, 0.00312048
0.446192, 0.00673815
0.215741, 2.28579
5.47815, 0.0114909
4.029, 0.942134
5.16363, 0.029304
1.11063, 0.0265983
1.68794, 0.0059194
0.804345, 0.00376994
1.7961, 2.25811
1.05294, 0.00518909
3.71687, 0.00928409
0.0508256, 0.0153167
8.08853, 0.00528713
0.0102036, 0.0166603
3.03641, 0.0194386
6.31654, 0.0351705
2.28718, 0.00344077
0.389508, 0.00489823
4.76624, 0.023913
5.37932, 0.0305161
4.96039, 0.0079123
4.30078, 0.011244
5.00278, 0.011006
0.00542991, 0.0418879
4.76789, 0.00634807
5.53519, 0.00349452
3.3291, 0.0143406
2.22409, 0.00654418
7.7607, 0.00479963
5.88288, 0.00526291
4.80645, 0.0616693
0.0762369, 0.00859586
7.00431, 0.0078576
2.00581, 0.183979
0.0271412, 0.00283632
1.45475, 0.00514714
1.19247, 0.0078284
0.0153181, 0.0107616
5.37849, 0.00774868
3.80837, 0.00806396
5.99542, 1.65083
5.99937, 3.15617
0.170771, 0.0126909
0.529304, 0.00448549
0.0017114, 0.00399357
4.25731, 1.43072
2.72259, 0.140395
0.161388, 0.0171903
7.70794, 0.00557484
3.44948, 0.008886
5.70665, 0.00858673
3.27326, 0.15611
4.56927, 0.061648
3.03238, 0.0205863
4.94172, 0.45093
0.0448933, 0.0191991
6.67478, 0.157006
5.90261, 0.00584371
5.13024, 0.0162573
4.08103, 0.008228
1.64917, 1.20617
1.0051, 3.91566
0.115839, 3.3547
5.30279, 1.82805
5.13774, 0.00675997
7.30253, 0.947842
0.0810005, 0.352922
1.64087, 0.014769
5.39645, 0.0121874
2.26113, 4.15288
5.49645, 0.643622
4.31227, 0.0056392
0.11699, 0.0102627
5.22362, 0.0372893
0.186894, 0.0244156
0.0838519, 0.0093465
7.12552, 0.0260543
0.0628333, 0.00404164
6.14207, 0.013223
7.84332, 0.0237504
2.51611, 0.255655
2.11565, 1.30146
0.167431, 0.734599
6.24033, 0.0438326
