#true policy loss value birl, true policy loss value diff brex
0.650168, 2.66927
7.47312, 4.56843
5.57829, 3.60122
3.57023, 0.00336349
5.14543, 3.08725
5.20072, 0.00637379
6.30299, 6.33716
0.109168, 0.0877074
0.00597851, 0.442824
5.97299, 2.55057
4.9515, 2.62627
3.69669, 4.59891
3.76629, 0.0861889
6.24211, 0.035137
0.00664714, 2.51481
1.2427, 1.12218
0.0525283, 3.84245
5.72232, 2.36041
6.92216, 0.0559524
3.66729, 0.935598
5.41322, 3.98989
0.870547, 1.21042
1.94602, 0.0519191
7.53102, 0.00917352
3.96046, 2.31543
2.18852, 0.0333127
0.0884928, 4.2543
3.6905, 3.19351
8.08143, 3.05729
3.83261, 0.00590305
0.0357784, 0.0670385
5.25735, 3.72961
1.9411, 0.0480359
7.19526, 0.00489823
4.28289, 0.0784417
0.727308, 5.73708
0.107686, 0.130095
4.45989, 4.79393
5.37482, 4.99806
0.00377356, 1.52237
2.74406, 0.00563596
5.64105, 0.00349452
2.42782, 0.204951
3.35031, 3.59242
0.0283581, 2.31082
5.51612, 5.5915
6.08249, 6.37322
2.45487, 0.0713144
5.33191, 0.10199
3.80306, 0.0712098
0.00981474, 3.7284
1.87022, 0.00113726
0.00676182, 1.14034
6.98556, 7.08591
3.52272, 5.32871
3.7541, 0.0221886
6.07855, 1.74163
8.43627, 0.0103914
6.54012, 0.054772
5.60977, 0.0858014
0.00283188, 0.786904
4.29354, 1.01626
3.42499, 0.087149
0.0168147, 2.85391
7.78103, 0.00706176
0.148906, 0.0595527
5.59869, 0.119723
3.35313, 0.0507739
4.00142, 0.97576
2.93396, 3.56882
5.2701, 0.787086
6.70145, 0.00286556
0.0781528, 0.0911717
5.76858, 1.98985
5.07042, 5.725
4.26676, 0.024917
4.59513, 0.495053
1.00606, 1.00816
0.464256, 3.36685
5.33514, 2.10176
4.99227, 0.0036411
1.13469, 1.14106
5.19816, 0.0642986
0.0085212, 4.12898
5.293, 0.0076332
0.00459828, 0.347639
5.45727, 0.748169
4.10106, 4.08608
0.103095, 0.125175
6.27044, 0.0372893
0.186894, 2.54289
0.859608, 0.0970479
7.12552, 5.9674
0.0028745, 5.26002
6.14815, 0.0269389
0.0467629, 7.79664
3.21182, 0.257765
5.00133, 0.0665086
0.0909692, 1.08705
2.3962, 2.39595
