#true policy loss value birl, true policy loss value diff brex
2.64898, 0.00524032
7.26003, 0.00430688
2.70175, 0.00435192
1.1556, 0.00288285
5.58736, 0.00564677
0.318951, 0.00637379
5.31052, 0.00920893
0.043914, 0.00801904
6.45424, 0.0119904
2.54556, 0.00522458
3.61253, 0.00470745
6.12391, 0.00625132
4.00912, 0.00320606
0.5137, 0.00823879
0.674583, 0.00710015
2.20985, 0.00312048
3.79601, 0.00671424
2.47904, 0.00789636
4.1294, 0.00787277
4.029, 0.00559185
2.77827, 0.00348835
4.97035, 0.00956795
1.57637, 0.00500958
4.05523, 0.00917352
3.98977, 0.00425361
1.50549, 0.0036031
1.88277, 0.00684905
0.559601, 0.00684484
7.97334, 0.00641633
0.652369, 0.00590305
1.37738, 0.00862624
5.5065, 0.00238937
2.18943, 0.00344077
7.23795, 0.00489823
4.40258, 0.0780268
3.82433, 0.00752871
2.36823, 0.0079123
4.76308, 0.00332304
2.32655, 0.00784764
0.155894, 0.00185764
4.75695, 0.00535602
0.0376718, 0.0035176
4.25073, 0.00765319
1.5407, 0.00654418
0.612381, 0.00527773
4.77278, 0.00622043
4.97083, 0.00761812
0.223427, 0.00535756
4.74328, 0.0078576
2.19555, 0.00552199
2.40121, 0.00283632
1.36589, 0.00514714
2.32948, 0.00787335
0.061846, 0.0060222
4.68151, 0.00774868
4.24833, 0.00447267
0.176649, 0.00400724
0.944939, 0.0230362
1.31811, 0.00452978
0.664698, 0.00453312
2.0214, 0.00399357
4.29888, 0.00784311
2.83721, 0.00786712
0.161388, 0.00392133
0.846014, 1.17237
3.44948, 0.00513656
2.49535, 0.00847999
3.31945, 0.116962
0.0855627, 0.00583457
2.93396, 0.00349978
5.23331, 0.00629722
2.67128, 0.010016
2.76964, 0.00750971
2.83395, 0.00242932
2.34324, 0.00483531
0.426801, 0.00918316
1.38779, 0.00510099
0.137622, 0.00726924
0.0116174, 0.00583077
3.85933, 0.189834
5.35344, 0.0036411
2.71954, 0.00803432
0.135277, 0.0379353
0.938655, 0.00781703
3.54534, 0.00714231
3.93775, 0.00810395
5.13147, 0.365551
4.05292, 0.00610924
1.29191, 0.00746793
0.402226, 0.00838878
0.101178, 0.0244156
0.0928246, 0.0683435
7.38202, 0.00482486
0.526663, 0.00404164
5.48902, 0.013223
7.97038, 0.00525488
3.22876, 0.00545567
2.23786, 0.00797675
0.167431, 0.00361075
4.27638, 0.0101858
